Brand Name,City,Name,Latitude,Longitude,Phone,Fax,Email,Address
Aston Martin,New Delhi,Aston Martin New Delhi,28.529808,77.286988,011-49640000,011-43430055,SALES@ASTONMARTINNEWDELHI.COM,"A16, Mathura Road, Mohan Co-operative Industrial Area, Near Raj Business School, New Delhi, Delhi 110044"
Aston Martin,Mumbai,Aston Martin Mumbai,18.966224,72.808984,022-65811007,022-23515538,,"No.3, Crystal Building, Altamount Road, Tardeo, Kemps Corner, Mumbai, Maharashtra 400026"
Aston Martin,New Delhi,Aston Martin New Delhi,28.529808,77.286988,011-49640000,011-43430055,SALES@ASTONMARTINNEWDELHI.COM,"A16, Mathura Road, Mohan Co-operative Industrial Area, Near Raj Business School, New Delhi, Delhi 110044"
Audi,Ahmedabad,Audi Ahmedabad,23.074712,72.525451,9898053260,,jigar.maniar@audiahmedabad.com,"Shapath Hexa, Vishwas City 1, Sola Village, Near Sola Bridge, Opposite Gujarat Highcourt Sarkhej Gandhinagar Highway, Ahmedabad, Gujarat 380061"
Audi,Bangalore,Audi  Bengaluru,12.842286,77.676116,8025013700,,info@audibengaluru.in,"No 6/1, 15th km Hosur Main Road, Beratana, Electronic City, Bangalore, Karnataka 560100"
Audi,Bangalore,Audi Bengaluru Central,12.97019,77.600563,8042880000,,G-Info_central@audibengaluru.in,"UB Plaza, Vittal Mallya Road, Municipal No.1 and 2 Vitta, Bangalore, Karnataka 560001"
Audi,Bangalore,Audi  Bengaluru,12.842286,77.676116,8025013700,,info@audibengaluru.in,"No 6/1, 15th km Hosur Main Road, Beratana, Electronic City, Bangalore, Karnataka 560100"
Audi,Bangalore,Audi Bengaluru Central,12.97019,77.600563,8042880000,,G-Info_central@audibengaluru.in,"UB Plaza, Vittal Mallya Road, Municipal No.1 and 2 Vitta, Bangalore, Karnataka 560001"
Audi,Bhopal,Audi Bhopal,23.233093,77.430031,07556644444,,pramod@audiindore.com,"34B Ground floor, DB City mall, DB Mall, Arera Hills 34B, Bhopal, Madhya Pradesh 462001"
Audi,Bhubaneswar,Audi Bhubaneswar,20.337321,85.884801,7381058016,,reach@audibhubaneswar.in,"Utkal Signature Building, Nh-5, Ctc-bbsr Road, Pahal, Jyoti Premiur, Bhubaneswar, Orissa 752101"
Audi,Kozhikode,Audi Kozhikode,11.313953,75.756002,9539011144,,"crm@audikozhikode.in,sales@audikozhikode.in","Sreeja Group, Nh 17 Calicut Kannur Highway, Puthiyangadi, Po Pavanagad, Kozhikode, Kerala 673021"
Audi,Chandigarh,Audi Chandigarh,30.700561,76.789337,7375002810,,info@audichandigarh.in,"Plot No 54, Industrial Area, Phase - 2, Chandigarh, Chandigarh 160002"
Audi,Chennai,Audi Chennai,13.025771,80.231868,9600095024,044-45600457,info@audichennai.in,"Jubilant motor Works,No.535, Anna Salai Nandanam, Near Hotel Majestic, Chennai, Tamil Nadu 600002"
